Brand,Model,Green Ticks,Cooling Capacity (kW),Full Load COP,COP at 75% Part Load,COP at 50% Part Load,COP at 25% Part Load,IEER,Annual Energy Consumption (kWh),Annual Energy Cost ($),Date of Expiry,Number of Indoor Units Used for Test,Model No. of Indoor Units Used for Test
Hitachi,RAS-180HNCBLW,3,49.18,4.10,4.91,5.71,6.37,5.27,2890,2890,25/09/2025,12,"RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-2.3FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI-2.3FSKDN1Q"
Hitachi,RAS-140HNCBLW,3,38.92,4.41,5.00,5.79,5.78,5.27,2352,2352,25/09/2025,11,"RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q"
Hitachi,RAS-120HNCELW,1,32.33,3.77,4.41,5.32,5.20,4.71,2551,2551,23/06/2027,10,"RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.5FSKDNQ, RCI-3.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ"
Hitachi,RAS-100HNCELW,2,27.06,4.04,4.70,5.23,5.80,4.95,2135,2135,23/06/2027,8,"RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.5FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-3.0FSKDNQ"
Hitachi,RAS-14HNBBMQ,1,39.21,3.62,4.14,4.98,5.13,4.45,2735,2735,19/04/2027,12,"RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 4.0FSKDNQ"
Hitachi,RAS-12HNBBMQ,1,32.83,3.64,4.22,4.77,4.65,4.39,2219,2219,19/04/2027,10,"RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.5FSKDNQ, RCI-3.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ"
Hitachi,RAS-10HNBBMQ,2,27.44,4.05,4.71,5.43,4.94,4.90,1772,1772,19/04/2027,8,"RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.5FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-1.0FSKDNQ, RCI-3.0FSKDNQ"
Hitachi,RAS-080HNCBLW,5,21.86,5.13,6.09,6.71,5.96,6.20,1125,1125,24/09/2025,6,"RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q, RCI-1.3FSKDN1Q"
Hitachi,RAS-18HNBBMQ,1,48.96,3.59,4.23,5.15,5.35,4.58,3352,3352,19/04/2027,16,"RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.5FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.5FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 1.0FSKDNQ, RCI- 3.0FSKDNQ"
Hitachi,RAS-200HNCBLW,2,54.78,4.00,4.63,5.54,6.20,5.03,3310,3310,25/09/2025,12,"RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI- 2.3FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI- 2.3FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI- 2.3FSKDN1Q, RCI-1.5FSKDN1Q, RCI-1.5FSKDN1Q, RCI- 2.3FSKDN1Q"
